Date	Price	Open	High	Low	Vol.	Change %
Jan 06, 2015	148.16	146.91	149.25	146.88	576.43K	0.81%
Jan 05, 2015	146.97	145.56	147.19	145.41	304.11K	1.01%
Jan 02, 2015	145.50	144.34	145.94	143.97	256.84K	0.82%
Jan 01, 2015	144.32	144.45	144.45	144.32	-	-0.17%
Dec 31, 2014	144.56	144.28	144.66	144.12	106.32K	0.19%
Dec 30, 2014	144.28	144.03	144.69	143.91	120.89K	0.19%
Dec 29, 2014	144.00	143.34	144.28	143.22	128.05K	0.43%
Dec 26, 2014	143.38	143.25	143.72	143.06	53.55K	0.06%
Dec 25, 2014	143.30	143.24	143.39	143.24	-	0.10%
Dec 24, 2014	143.16	142.88	143.28	142.34	84.14K	0.20%
Dec 23, 2014	142.88	144.69	144.75	142.66	175.34K	-1.18%
Dec 22, 2014	144.59	144.59	144.78	144.06	145.76K	-0.82%
Dec 19, 2014	145.78	145.19	145.91	144.59	0.31K	0.41%
Dec 18, 2014	145.19	146.44	146.88	144.88	7.90K	-0.66%
Dec 17, 2014	146.16	147.34	147.56	146.09	2.30K	-0.72%
Dec 16, 2014	147.22	146.69	148.00	146.50	4.59K	0.47%
Dec 15, 2014	146.53	146.88	147.19	146.19	2.64K	-0.06%
Dec 12, 2014	146.62	145.84	147.00	145.84	2.17K	0.75%
Dec 11, 2014	145.53	145.41	145.91	144.81	2.79K	0.10%
Dec 10, 2014	145.38	144.66	145.62	144.50	2.23K	0.55%
Dec 09, 2014	144.59	143.88	145.12	143.81	4.80K	0.41%
Dec 08, 2014	144.00	142.81	144.19	142.41	12.47K	0.72%
Dec 05, 2014	142.97	143.56	143.66	142.31	13.36K	-0.22%
Dec 04, 2014	143.28	142.81	143.69	142.56	8.04K	0.39%
Dec 03, 2014	142.72	142.41	142.84	142.28	15.12K	0.13%
Dec 02, 2014	142.53	143.25	143.44	142.34	45.00K	-0.70%
Dec 01, 2014	143.53	144.28	144.72	143.09	74.92K	-0.37%
Nov 28, 2014	144.06	143.31	144.28	143.25	52.88K	1.19%
Nov 27, 2014	142.36	141.86	142.45	141.80	-	-0.75%
Nov 26, 2014	143.44	142.94	143.50	142.91	440.67K	0.33%
Nov 25, 2014	142.97	142.12	143.03	142.00	884.42K	0.64%
Nov 24, 2014	142.06	142.00	142.22	141.59	437.03K	0.04%
Nov 21, 2014	142.00	141.53	142.09	141.38	321.37K	0.31%
Nov 20, 2014	141.56	141.09	142.09	141.06	380.09K	0.24%
Nov 19, 2014	141.22	141.75	141.84	141.00	352.80K	-0.33%
Nov 18, 2014	141.69	141.34	141.91	141.31	211.56K	0.22%
Nov 17, 2014	141.38	141.62	142.28	141.16	266.08K	-0.22%
Nov 14, 2014	141.69	141.34	141.78	140.84	270.10K	0.31%
Nov 13, 2014	141.25	140.81	141.47	140.69	335.10K	0.09%
Nov 12, 2014	141.12	140.94	141.75	140.75	271.25K	0.28%
Nov 11, 2014	140.72	140.88	141.06	140.53	40.84K	-0.18%
Nov 10, 2014	140.97	141.91	142.25	140.88	209.48K	-0.49%
Nov 07, 2014	141.66	140.50	141.97	140.25	434.00K	0.71%
Nov 06, 2014	140.66	141.16	141.44	140.41	292.94K	-0.30%
Nov 05, 2014	141.09	141.28	141.50	140.75	250.61K	-0.11%
Nov 04, 2014	141.25	141.09	141.88	141.03	324.92K	0.13%
Nov 03, 2014	141.06	141.19	141.62	140.44	325.86K	-0.02%
Oct 31, 2014	141.09	141.47	141.59	140.62	399.71K	-0.33%
Oct 30, 2014	141.56	141.47	142.12	141.25	356.56K	0.13%
Oct 29, 2014	141.38	141.44	141.66	140.50	316.68K	-0.11%
Oct 28, 2014	141.53	141.91	142.16	141.25	333.63K	-0.31%
Oct 27, 2014	141.97	141.75	142.28	141.41	210.57K	0.18%
Oct 24, 2014	141.72	141.75	142.53	141.62	354.71K	0.00%
Oct 23, 2014	141.72	142.56	142.88	141.22	372.07K	-0.48%
Oct 22, 2014	142.41	142.59	143.25	142.09	369.48K	-0.20%
Oct 21, 2014	142.69	143.00	143.78	142.38	352.42K	-0.28%
Oct 20, 2014	143.09	142.78	143.50	142.44	326.40K	0.13%
Oct 17, 2014	142.91	143.44	143.91	142.28	498.70K	-0.35%
Oct 16, 2014	143.41	143.75	146.22	143.06	860.84K	-0.67%
Oct 15, 2014	144.38	142.81	148.00	142.41	1.19M	1.18%
Oct 14, 2014	142.69	142.25	143.19	141.81	526.62K	0.46%
Oct 13, 2014	142.03	141.69	142.53	141.56	106.92K	0.53%
Oct 10, 2014	141.28	141.00	141.69	140.62	386.51K	0.33%
Oct 09, 2014	140.81	140.72	141.44	140.53	595.86K	0.11%
Oct 08, 2014	140.66	140.69	140.94	140.06	574.27K	0.05%
Oct 07, 2014	140.59	139.44	140.78	139.31	423.30K	0.87%
Oct 06, 2014	139.38	139.28	139.78	139.03	294.48K	0.11%
Oct 03, 2014	139.22	139.09	139.41	138.34	517.91K	0.16%
Oct 02, 2014	139.00	139.84	140.03	138.97	470.37K	-0.44%
Oct 01, 2014	139.62	138.19	139.97	137.84	520.53K	1.24%
Sep 30, 2014	137.91	138.47	138.53	137.81	335.92K	-0.29%
Sep 29, 2014	138.31	137.78	138.59	137.56	288.25K	0.50%
Sep 26, 2014	137.62	137.88	138.22	137.16	431.33K	-0.14%
Sep 25, 2014	137.81	136.91	138.00	136.81	368.26K	0.71%
Sep 24, 2014	136.84	137.44	137.56	136.81	267.17K	-0.41%
Sep 23, 2014	137.41	136.75	137.56	136.69	267.29K	0.48%
Sep 22, 2014	136.75	136.75	137.19	136.62	298.29K	-0.84%
Sep 19, 2014	137.91	137.12	137.91	136.88	0.73K	0.55%
Sep 18, 2014	137.16	137.16	137.66	136.97	4.88K	-0.16%
Sep 17, 2014	137.38	137.44	138.12	137.06	3.08K	-0.07%
Sep 16, 2014	137.47	137.47	138.16	137.38	9.49K	-0.07%
Sep 15, 2014	137.56	137.47	137.91	137.25	5.25K	0.20%
Sep 12, 2014	137.28	138.41	138.50	137.25	9.36K	-1.04%
Sep 11, 2014	138.72	138.72	139.12	138.31	7.95K	0.07%
Sep 10, 2014	138.62	139.28	139.34	138.53	3.04K	-0.39%
Sep 09, 2014	139.16	139.38	139.44	138.91	11.39K	-0.18%
Sep 08, 2014	139.41	139.47	140.12	139.19	5.30K	0.02%
Sep 05, 2014	139.38	139.69	140.53	139.28	10.22K	-0.17%
Sep 04, 2014	139.62	140.47	140.75	139.53	41.92K	-0.54%
Sep 03, 2014	140.38	140.12	140.62	139.44	36.89K	0.19%
Sep 02, 2014	140.12	141.53	141.56	140.03	77.42K	0.19%
Sep 01, 2014	139.86	140.07	140.10	139.68	-	-1.18%
Aug 29, 2014	141.53	141.69	141.91	141.38	86.77K	-0.13%
Aug 28, 2014	141.72	141.28	141.94	141.22	613.61K	0.40%
Aug 27, 2014	141.16	140.41	141.31	140.38	687.64K	0.45%
Aug 26, 2014	140.53	140.78	141.06	140.38	496.69K	-0.14%
Aug 25, 2014	140.72	140.34	140.94	140.34	351.00K	0.20%
Aug 22, 2014	140.44	140.09	140.56	139.66	386.88K	0.27%
Aug 21, 2014	140.06	139.69	140.28	139.38	323.66K	0.26%
